大学,经度,纬度,排名
南昌大学,0.7247902789521873,0.2559171810352077,0.1348314606741573
郑州大学,0.6671563061634616,0.5210602597438431,0.10955056179775281
武汉大学,0.6835993683454523,0.33839058152200535,0.025280898876404494
华中科技大学,0.6835993683454523,0.33839058152200535,0.016853932584269662
武汉科技大学,0.6835993683454523,0.33839058152200535,0.27808988764044945
中国地质大学（武汉）,0.6835993683454523,0.33839058152200535,0.20224719101123595
华中农业大学,0.6835993683454523,0.33839058152200535,0.09831460674157304
华中师范大学,0.6835993683454523,0.33839058152200535,0.10674157303370786
湖北大学,0.6835993683454523,0.33839058152200535,0.41853932584269665
湖南大学,0.6500245167279942,0.23519917623713302,0.07303370786516854
中南大学,0.6500245167279942,0.23519917623713302,0.06741573033707865
湖南师范大学,0.6500245167279942,0.23519917623713302,0.17696629213483145
华南理工大学,0.6572012309512615,0.013619750761346893,0.07865168539325842
广西大学,0.5304078602781996,0.0,0.3539325842696629
四川大学,0.42204946340971766,0.3424691646807093,0.047752808988764044
四川农业大学,0.42204946340971766,0.3424691646807093,0.3342696629213483
西南大学,0.4852370611323105,0.29423962375535706,0.14887640449438203
西南财经大学,0.42204946340971766,0.3424691646807093,0.29213483146067415
贵州大学,0.48941121553471945,0.16439235458889045,0.3960674157303371
西北大学,0.546732289536603,0.49946222249852057,0.15730337078651685
西安电子科技大学,0.546732289536603,0.49946222249852057,0.11235955056179775
长安大学,0.546732289536603,0.49946222249852057,0.3146067415730337
兰州大学,0.4135523632867756,0.5782221289187212,0.08426966292134831
新疆大学,0.0,0.9149527722096866,0.36797752808988765
石河子大学,0.0,0.9149527722096866,0.5898876404494382
青岛大学,0.7531140758193106,0.6043409303647136,0.46629213483146065
广州大学,0.6572012309512615,0.013619750761346893,0.35674157303370785
中国矿业大学（北京）,0.737548089325071,0.7456580175292121,0.39325842696629215
中国地质大学（北京）,0.737548089325071,0.7456580175292121,0.3595505617977528
北京联合大学,0.737548089325071,0.7456580175292121,1.0
复旦大学医学部,0.8674579854024915,0.3676324985895543,0.41853932584269665
重庆大学,0.4852370611323105,0.29423962375535706,0.09550561797752809
中国科学技术大学,0.7600332000042656,0.3948868944112535,0.019662921348314606
浙江工业大学,0.833899748696013,0.32524385991897836,0.23314606741573032
