,firstlevelIDs,collegeID_id,rank
555,830,10657,D
556,830,10224,D
557,830,10304,D
558,802,10247,A
559,802,10487,A
560,802,10357,A
561,802,10610,B
562,802,10141,B
563,802,10007,B
564,802,10486,B
565,802,106111,B
566,802,10004,B
567,802,10532,B
568,802,10287,C
569,802,10013,C
570,802,10701,C
571,802,10008,C
572,802,10251,C
573,802,10054,C
574,802,10286,C
575,802,10255,C
576,802,10010,C
577,802,11415,C
578,802,10295,C
579,802,10280,C
580,802,10336,C
581,802,10403,C
582,802,10022,C
583,802,10491,D
584,802,10635,D
585,802,10359,D
586,802,10710,D
587,802,11413,D
588,802,11078,D
589,802,10216,D
590,802,10657,D
591,802,10386,D
592,802,11065,D
593,802,10225,D
594,802,10224,D
595,802,10126,D
596,802,10593,D
597,802,10385,D
598,802,10626,D
599,802,10011,D
600,802,10184,D
601,802,10759,D
602,802,10755,D
603,802,10151,D
604,802,10389,D
605,802,10459,D
606,802,10304,D
607,812,10284,A
608,812,10247,A
609,812,10487,A
610,812,10357,A
611,812,10027,B
612,812,10007,B
613,812,10013,B
614,812,10269,B
615,812,10030,B
616,812,10610,B
617,812,10486,B
618,812,106111,B
619,812,10287,B
620,812,10280,C
621,812,10384,C
622,812,10141,C
623,812,10651,C
624,812,10004,C
625,812,10511,C
626,812,10008,C
627,812,10532,C
628,812,10701,C
629,812,10033,C
630,812,10251,C
631,812,10054,C
632,812,10286,C
633,812,10255,C
634,812,10010,C
635,812,10028,C
636,812,11415,C
637,812,10697,C
638,812,10295,C
639,812,10002,C
640,812,10022,D
641,812,10403,D
642,812,10359,D
643,812,11413,D
644,812,10276,D
645,812,10491,D
646,812,10336,D
647,812,10327,D
648,812,10710,D
649,812,10635,D
650,812,10626,D
651,812,10140,D
652,812,11078,D
653,812,11065,D
654,812,10216,D
655,812,10730,D
656,812,10126,D
657,812,10385,D
658,812,10386,D
659,812,10593,D
660,812,10225,D
661,812,10011,D
662,812,10184,D
663,812,10319,D
664,812,10657,D
665,812,10759,D
666,812,10224,D
667,812,10389,D
668,812,10151,D
669,812,10755,D
670,812,10304,D
671,813,10247,A
672,813,10486,A
673,813,10487,B
674,813,10384,B
675,813,10610,B
676,813,10287,B
677,813,10004,B
678,813,106111,C
679,813,10141,C
680,813,10532,C
681,813,10286,C
682,813,10255,C
683,813,10359,C
684,813,10710,C
685,813,11413,C
686,813,10216,C
687,813,10403,D
688,813,10657,D
689,813,10593,D
690,813,10459,D
691,813,11078,D
692,813,10626,D
693,813,10385,D
694,813,10386,D
695,813,10319,D
696,813,10225,D
697,813,10184,D
698,813,10759,D
699,813,10755,D
700,813,10304,D
701,806,10002,A
702,806,10486,A
703,806,10247,A
704,806,10027,B
705,806,10487,B
706,806,10269,B
707,806,10610,B
708,806,10651,B
709,806,10030,B
710,806,10141,C
711,806,10532,C
712,806,10271,C
713,806,10697,C
714,806,10276,C
715,806,10384,C
716,806,10280,C
717,806,106111,C
718,806,10008,C
719,806,10022,C
720,806,10251,C
721,806,10403,C
722,806,10295,D
723,806,10459,D
724,806,10386,D
725,806,10011,D
726,806,11078,D
727,806,11065,D
728,806,10140,D
729,806,10626,D
730,806,10126,D
731,806,10657,D
732,806,10327,D
733,806,10389,D
734,806,10385,D
735,806,10593,D
736,806,10255,D
737,806,10319,D
738,806,10224,D
739,806,10336,D
740,806,10759,D
741,806,10755,D
742,303,10357,A
743,303,10002,A
744,303,10027,A
745,303,10284,B
746,303,10013,B
747,303,10247,B
748,303,10006,B
749,303,10651,B
750,303,10610,B
751,303,10487,B
752,303,10486,B
753,303,10384,B
754,303,106111,C
755,303,10269,C
756,303,10007,C
757,303,10532,C
758,303,10511,C
759,303,10280,C
760,303,10271,C
761,303,10033,C
762,303,10010,C
763,303,10295,C
764,303,10491,C
765,303,10403,C
766,303,10028,C
767,303,10276,C
768,303,10011,C
769,303,10022,C
770,303,11415,C
771,303,10216,D
772,303,10359,D
773,303,10730,D
774,303,10255,D
775,303,10336,D
776,303,11413,D
777,303,10635,D
778,303,10697,D
779,303,11078,D
780,303,10593,D
781,303,10140,D
782,303,10459,D
783,303,10327,D
784,303,10251,D
785,303,10225,D
786,303,10126,D
787,303,10385,D
788,303,10626,D
789,303,10386,D
790,303,10319,D
791,303,10184,D
792,303,10759,D
793,303,10389,D
794,303,10151,D
795,303,10755,D
796,303,10304,D
797,303,10657,D
798,601,10247,A
799,601,10269,A
800,601,10027,B
801,601,10486,B
802,601,10511,B
803,601,10610,B
804,601,10030,C
805,601,11078,C
806,601,10028,C
807,601,10532,C
808,601,10635,C
809,601,10319,C
810,601,10657,C
811,601,10386,D
812,601,10280,D
813,601,10697,D
814,601,10459,D
815,601,10730,D
816,601,10403,D
817,601,10140,D
818,601,10126,D
819,601,10755,D
820,601,10184,D
821,601,10759,D
822,601,10304,D
823,807,10487,A
824,807,10141,B
825,807,10532,B
826,807,10287,B
827,807,10251,C
828,807,10710,C
829,807,10359,C
830,807,10403,C
831,807,10216,C
832,807,11065,D
833,807,10593,D
834,807,10626,D
835,807,10755,D
836,807,10151,D
837,807,10459,D
838,807,10657,D
839,807,10319,D
840,710,10610,A
841,710,10487,A
842,710,10027,A
843,710,10384,B
844,710,10269,B
845,710,10247,B
846,710,10486,B
847,710,10511,B
848,710,10141,B
849,710,10532,B
850,710,10008,C
851,710,10251,C
852,710,10028,C
853,710,10010,C
854,710,10730,C
855,710,106111,C
856,710,10295,C
857,710,10022,C
858,710,10286,C
859,710,10635,C
860,710,10697,C
861,710,10701,C
862,710,10403,C
863,710,10386,D
864,710,10491,D
865,710,10319,D
866,710,10216,D
867,710,10657,D
