:START_ID,has,:TYPE,:END_ID
c10033,has,HAS,M447
c10033,has,HAS,M448
c10033,has,HAS,M199
c10033,has,HAS,M449
c10033,has,HAS,M450
c10033,has,HAS,M451
c10033,has,HAS,M452
c10033,has,HAS,M453
c10033,has,HAS,M454
c10033,has,HAS,M455
c10033,has,HAS,M456
c10033,has,HAS,M457
c10033,has,HAS,M458
c10033,has,HAS,M459
c10033,has,HAS,M460
c10033,has,HAS,M461
c10033,has,HAS,M462
c10033,has,HAS,M463
c10033,has,HAS,M464
c10033,has,HAS,M330
c10033,has,HAS,M465
c10027,has,HAS,M394
c10027,has,HAS,M431
c10027,has,HAS,M440
c10027,has,HAS,M88
c10027,has,HAS,M199
c10027,has,HAS,M434
c10027,has,HAS,M441
c10027,has,HAS,M435
c10027,has,HAS,M437
c10027,has,HAS,M446
c10027,has,HAS,M7
c10027,has,HAS,M139
c10027,has,HAS,M447
c10027,has,HAS,M448
c10027,has,HAS,M450
c10027,has,HAS,M457
c10027,has,HAS,M453
c10027,has,HAS,M452
c10027,has,HAS,M455
c10027,has,HAS,M451
c10027,has,HAS,M443
c10027,has,HAS,M464
c10027,has,HAS,M459
c10027,has,HAS,M436
c10027,has,HAS,M432
c10027,has,HAS,M433
c10027,has,HAS,M428
c10027,has,HAS,M444
c10027,has,HAS,M3
c10027,has,HAS,M439
c10027,has,HAS,M445
c10027,has,HAS,M38
c10027,has,HAS,M430
c10027,has,HAS,M460
c10027,has,HAS,M461
c10027,has,HAS,M353
c10027,has,HAS,M462
c10027,has,HAS,M156
c10027,has,HAS,M174
c10027,has,HAS,M4
c10027,has,HAS,M454
c10027,has,HAS,M276
c10027,has,HAS,M429
c10027,has,HAS,M438
c10027,has,HAS,M449
c10027,has,HAS,M330
c10027,has,HAS,M351
c10027,has,HAS,M456
c10027,has,HAS,M442
c10027,has,HAS,M465
c10027,has,HAS,M458
c10027,has,HAS,M463
c10027,has,HAS,M144
c10319,has,HAS,M394
c10319,has,HAS,M435
c10319,has,HAS,M434
c10319,has,HAS,M4
c10319,has,HAS,M457
c10319,has,HAS,M448
c10319,has,HAS,M460
c10319,has,HAS,M7
c10319,has,HAS,M459
c10319,has,HAS,M139
c10319,has,HAS,M351
c10319,has,HAS,M446
c10319,has,HAS,M353
c10319,has,HAS,M3
c10319,has,HAS,M456
c10319,has,HAS,M88
c10319,has,HAS,M462
c10319,has,HAS,M453
c10319,has,HAS,M199
c10319,has,HAS,M466
c10319,has,HAS,M467
c10319,has,HAS,M468
c10319,has,HAS,M160
c10319,has,HAS,M469
c10319,has,HAS,M264
c10319,has,HAS,M470
c10319,has,HAS,M471
c10319,has,HAS,M38
c10319,has,HAS,M472
c10319,has,HAS,M265
c10319,has,HAS,M105
c10319,has,HAS,M473
c10319,has,HAS,M474
c10319,has,HAS,M93
c10319,has,HAS,M475
c10319,has,HAS,M476
c10319,has,HAS,M425
c10319,has,HAS,M477
c10319,has,HAS,M478
c10319,has,HAS,M156
c10319,has,HAS,M479
c10319,has,HAS,M480
c10319,has,HAS,M481
c10319,has,HAS,M420
c10319,has,HAS,M482
c10319,has,HAS,M483
c10319,has,HAS,M484
c10319,has,HAS,M485
c10319,has,HAS,M486
c10319,has,HAS,M487
c10319,has,HAS,M488
c10319,has,HAS,M489
c10319,has,HAS,M490
c10319,has,HAS,M491
c10319,has,HAS,M492
c10319,has,HAS,M262
c10319,has,HAS,M167
c10319,has,HAS,M493
c10319,has,HAS,M494
c10319,has,HAS,M495
c10319,has,HAS,M496
c10319,has,HAS,M497
c10319,has,HAS,M498
c10319,has,HAS,M499
c10319,has,HAS,M500
c10319,has,HAS,M501
c10319,has,HAS,M502
c10319,has,HAS,M503
c10319,has,HAS,M504
c10319,has,HAS,M505
c10319,has,HAS,M506
c10319,has,HAS,M507
c10319,has,HAS,M508
c10319,has,HAS,M509
c10319,has,HAS,M510
c10319,has,HAS,M511
c10319,has,HAS,M512
c10319,has,HAS,M513
c10319,has,HAS,M514
c10319,has,HAS,M515
c10319,has,HAS,M516
c10319,has,HAS,M517
c10319,has,HAS,M518
c10319,has,HAS,M170
c10319,has,HAS,M519
c10319,has,HAS,M463
c10319,has,HAS,M520
c10319,has,HAS,M521
c10319,has,HAS,M522
c10319,has,HAS,M523
c10319,has,HAS,M524
c10319,has,HAS,M525
c10319,has,HAS,M526
