,0,1,2
266,10027,管理科学与工程类（含信息管理与信息系统专业、管理科学专业<金融工程方向>）,B
267,10027,管理科学与工程类（含信息管理与信息系统专业、管理科学专业<金融工程方向>）,D
268,10027,环境科学与工程类（环境科学、环境工程、环境生态工程）,D
269,10027,电子信息科学与技术,D
270,10027,人文科学试验班（可选专业：汉语言文学、历史学、哲学）,B
271,10027,人文科学试验班（可选专业：汉语言文学、历史学、哲学）,D
272,10027,法学（瀚德实验1班西班牙语，仅招有专业志愿考生）,D
273,10027,历史学,D
274,10027,教育学（国家试点学院）,C
275,10027,法学（卓越实验班）,D
276,10027,社会学,D
277,10027,英语,C
278,10027,人力资源管理（含公共事业管理专业、人力资源管理专业）,D
279,10030,德语,D
280,10030,法语,A
281,10030,法语,D
282,10030,法语,D
283,10030,德语,D
284,10030,英语,A
285,10030,英语,D
286,10030,英语,D
287,10030,金融学,D
288,10030,工商管理类,B
289,10030,工商管理类,D
290,10030,法学,D
291,10033,传播学,D
292,10033,网络与新媒体（媒体创意方向）,A
293,10033,网络与新媒体（媒体创意方向）,D
294,10033,汉语国际教育,D
295,10033,经济学类,D
296,10033,英语,A
297,10033,英语,D
298,10033,传播学（媒体市场调查与分析方向）,D
299,10033,文化产业管理（影视制片管理、文化经纪方向）,D
300,10033,翻译,B
301,10033,翻译,D
302,10033,数字媒体技术,D
303,10033,计算机科学与技术（大数据技术与应用方向）,D
304,10033,广播电视工程,B
305,10033,广播电视工程,D
306,10033,信息管理与信息系统,D
307,10033,通信工程（无线多媒体广播技术方向）,D
308,10033,数字媒体技术（游戏设计技术方向）,B
309,10033,数字媒体技术（游戏设计技术方向）,D
310,10033,电子信息工程,D
311,10033,应用统计学,D
312,10054,电气类,D
313,10054,电子信息类,A
314,10054,电子信息类,D
315,10054,自动化类,D
316,10054,机械类,D
317,10054,外国语言文学类,A
318,10054,外国语言文学类,D
319,10054,材料类,D
320,10054,工商管理类,D
321,10054,法学类,B
322,10054,法学类,D
323,10054,计算机类,D
324,10054,经济学类,D
325,10054,土木类,B
326,10054,土木类,D
327,10054,能源动力类（新能源）,D
328,10054,公共管理类,D
329,10054,能源动力类（能动）,B
330,10054,能源动力类（能动）,D
331,10054,环境科学与工程类,D
332,10054,水利类,D
333,10054,核工程类,B
334,10054,核工程类,D
335,10054,数学类,D
336,10054,管理科学与工程类,D
337,10140,会计学,D
338,10140,金融学类(金融学、保险学),A
339,10140,金融学类(金融学、保险学),D
340,10140,汉语言文学,D
341,10140,英语,D
342,10140,日语,A
343,10140,日语,D
344,10140,行政管理,D
345,10140,会计学,D
346,10140,计算机类(计算机科学与技术、软件工程),B
347,10140,计算机类(计算机科学与技术、软件工程),D
348,10140,物理学类(物理学、应用物理学),D
349,10140,国际经济与贸易,D
350,10140,电子信息类(通信工程、电子信息科学与技术),B
351,10140,电子信息类(通信工程、电子信息科学与技术),D
352,10140,信息管理与信息系统,D
353,10140,档案学,D
354,10141,电子信息类（电气信息类创新实验班）,D
355,10141,建筑学,A
356,10141,建筑学,D
357,10141,机械类（机械类创新实验班）,D
358,10141,应用物理学（王大珩物理科学班）,D
359,10141,飞行器设计与工程,A
360,10141,飞行器设计与工程,D
361,10141,工程力学,D
362,10141,计算机科学与技术,D
363,10141,物理学类,B
364,10141,物理学类,D
365,10141,电气工程及其自动化,D
366,10141,电子信息工程（含英语强化班）,D
367,10141,工程力学（钱令希力学创新实验班）,B
368,10141,工程力学（钱令希力学创新实验班）,D
369,10141,集成电路设计与集成系统,D
370,10141,电子科学与技术,D
371,10141,机械类,B
372,10141,机械类,D
373,10141,机械设计制造及其自动化（日语强化）,D
374,10141,水利类,D
375,10141,船舶与海洋工程,B
376,10141,船舶与海洋工程,D
377,10141,土木工程（含国际班）,D
378,10141,应用化学,D
379,10141,自动化,C
380,10141,车辆工程（英语强化）,D
381,10141,工商管理类,D
382,10141,金融学类,C
383,10141,能源动力类,D
384,10141,高分子材料与工程,D
385,10141,材料类,C
386,10141,工业设计,D
387,10141,化工与制药类（化工环境生命类创新实验班）,D
388,10141,环境科学与工程类,C
389,10141,交通工程,D
390,10141,数学类,D
391,10141,新闻传播学类,C
392,10141,工程管理,D
393,10141,金属材料工程（日语强化）,D
394,10141,应用化学（张大煜化学菁英班）,D
395,10141,城乡规划,D
396,10141,过程装备与控制工程（含安全工程专业）,D
397,10141,化学工程与工艺（含国际班）,D
398,10141,建筑环境与能源应用工程,D
399,10141,软件工程（含网络工程专业）,D
400,10141,生物工程,D
401,10141,生物医学工程,D
402,10151,工商管理,D
403,10151,日语,A
404,10151,日语,D
405,10151,英语,D
406,10151,政治学与行政学,D
407,10151,材料科学与工程,A
408,10151,材料科学与工程,D
409,10151,船舶与海洋工程,D
410,10151,地理信息科学,D
411,10151,电子商务,B
412,10151,电子商务,D
413,10151,电子信息工程,D
414,10151,法学,D
415,10151,公共事业管理,B
416,10151,公共事业管理,D
417,10151,光电信息科学与工程,D
418,10151,海事管理,D
419,10151,环境工程,B
420,10151,环境工程,D
421,10151,机械设计制造及其自动化,D
422,10151,计算机科学与技术,D
423,10151,交通管理,B
424,10151,交通管理,D
425,10151,交通运输,D
426,10151,经济学,D
427,10151,救助与打捞工程,C
428,10151,轮机工程（陆上专业）,D
429,10151,旅游管理,D
430,10151,能源与动力工程,C
431,10151,日语,D
432,10151,软件工程,D
433,10151,通信工程,C
434,10151,统计学,D
435,10151,网络工程,D
436,10151,物联网工程,C
437,10151,物流工程,D
438,10151,物流管理,D
439,10151,信息管理与信息系统,C
440,10151,英语,D
441,10151,应用物理学,D
442,10151,智能科学与技术,D
443,10151,自动化,D
444,10183,金融学,D
445,10183,法学,A
446,10183,法学,D
447,10183,新闻学,D
448,10183,汉语言文学,D
449,10183,经济学(经济学院),A
450,10183,经济学(经济学院),D
451,10183,国际政治,D
452,10183,国际经济与贸易,D
453,10183,外交学,B
454,10183,外交学,D
455,10183,日语,D
456,10183,行政管理,D
457,10183,考古学,B
458,10183,考古学,D
459,10183,哲学,D
460,10183,社会学,D
461,10183,金融学,B
462,10183,金融学,D
463,10183,临床医学(5+3),D
464,10183,金融数学,D
465,10183,车辆工程,B
466,10183,车辆工程,D
467,10183,临床医学,D
468,10183,口腔医学(5+3),D
469,10183,化学,C
470,10183,理科试验班(材料物理),D
471,10183,计算机科学与技术,D
472,10183,法学,C
473,10183,机械工程,D
474,10183,工科试验班(农业机械化及其自动化),D
475,10183,会计学(管理学院),C
476,10183,电气工程及其自动化,D
477,10183,通信工程,D
478,10183,自动化,C
479,10183,预防医学,D
480,10183,人力资源管理(管理学院),D
481,10183,物理学,C
482,10183,能源与动力工程,D
483,10183,微电子科学与工程,D
484,10183,物联网工程,D
485,10183,软件工程,D
486,10183,工商管理(管理学院),D
487,10183,高分子材料与工程,D
488,10183,电子科学与技术,D
489,10183,临床药学,D
490,10183,市场营销(管理学院),D
491,10183,统计学,D
492,10183,光电信息科学与工程,D
493,10183,汽车服务工程,D
494,10183,道路桥梁与渡河工程,D
495,10183,信息工程,D
496,10183,地理信息科学,D
497,10183,放射医学,D
498,10183,无机非金属材料工程,D
499,10183,测控技术与仪器(通信学院),D
500,10183,土地资源管理,D
501,10183,环境科学与工程类,D
502,10183,食品科学与工程,D
503,10183,物流管理,D
504,10183,生物科学,D
505,10183,生物工程,D
506,10183,土木工程,D
507,10183,生物医学工程(药学院),D
508,10183,康复治疗学,D
509,10183,日语,D
510,10183,信息管理与信息系统(商学院),D
511,10183,工程力学,D
512,10183,材料成型及控制工程,D
513,10183,交通工程,D
514,10183,地质学,D
515,10183,资源勘查工程,D
516,10183,测绘工程,D
517,10183,"理科试验班(地球物理学,李四光班)",D
518,10183,地质工程,D
519,10183,水利类,D
520,10183,档案学,D
521,10183,植物生产类 国家专项,D
