:START_ID,need_score,:END_ID,:TYPE
m265,623,y1,NEED_SCORE
m266,641,y1,NEED_SCORE
m267,603,y1,NEED_SCORE
m268,596,y1,NEED_SCORE
m269,614,y1,NEED_SCORE
m270,649,y1,NEED_SCORE
m271,675,y1,NEED_SCORE
m272,808,y1,NEED_SCORE
m273,781,y1,NEED_SCORE
m274,666,y1,NEED_SCORE
m275,631,y1,NEED_SCORE
m276,659,y1,NEED_SCORE
m277,649,y1,NEED_SCORE
m278,657,y1,NEED_SCORE
m279,666,y1,NEED_SCORE
m280,656,y1,NEED_SCORE
m281,672,y1,NEED_SCORE
m282,644,y1,NEED_SCORE
m283,662,y1,NEED_SCORE
m284,644,y1,NEED_SCORE
m285,668,y1,NEED_SCORE
m286,611,y1,NEED_SCORE
m287,645,y1,NEED_SCORE
m288,642,y1,NEED_SCORE
m289,608,y1,NEED_SCORE
m290,573,y1,NEED_SCORE
m291,676,y1,NEED_SCORE
m292,643,y1,NEED_SCORE
m293,658,y1,NEED_SCORE
m294,621,y1,NEED_SCORE
m295,501,y1,NEED_SCORE
m296,539,y1,NEED_SCORE
m297,632,y1,NEED_SCORE
m298,622,y1,NEED_SCORE
m299,672,y1,NEED_SCORE
m300,652,y1,NEED_SCORE
m301,681,y1,NEED_SCORE
m302,647,y1,NEED_SCORE
m303,665,y3,NEED_SCORE
m304,680,y3,NEED_SCORE
m305,649,y3,NEED_SCORE
m306,701,y3,NEED_SCORE
m307,674,y3,NEED_SCORE
m308,696,y3,NEED_SCORE
m309,632,y3,NEED_SCORE
m310,665,y3,NEED_SCORE
m311,663,y3,NEED_SCORE
m312,681,y3,NEED_SCORE
m313,661,y3,NEED_SCORE
m314,688,y3,NEED_SCORE
m315,645,y3,NEED_SCORE
m316,685,y3,NEED_SCORE
m317,644,y3,NEED_SCORE
m318,688,y3,NEED_SCORE
m319,409,y3,NEED_SCORE
m320,424,y3,NEED_SCORE
m321,655,y3,NEED_SCORE
m322,687,y3,NEED_SCORE
m323,652,y3,NEED_SCORE
m324,675,y3,NEED_SCORE
m325,648,y3,NEED_SCORE
m326,682,y3,NEED_SCORE
m327,650,y3,NEED_SCORE
m328,687,y3,NEED_SCORE
m329,648,y3,NEED_SCORE
m330,684,y3,NEED_SCORE
m331,652,y3,NEED_SCORE
m332,688,y3,NEED_SCORE
m333,659,y3,NEED_SCORE
m334,678,y3,NEED_SCORE
m335,652,y3,NEED_SCORE
m336,679,y3,NEED_SCORE
m337,657,y3,NEED_SCORE
m338,699,y3,NEED_SCORE
m339,878,y3,NEED_SCORE
m340,872,y3,NEED_SCORE
m341,661,y3,NEED_SCORE
m342,696,y3,NEED_SCORE
m343,658,y3,NEED_SCORE
m344,706,y3,NEED_SCORE
m345,679,y3,NEED_SCORE
m346,681,y3,NEED_SCORE
m347,685,y3,NEED_SCORE
m348,711,y3,NEED_SCORE
m349,677,y3,NEED_SCORE
m350,699,y3,NEED_SCORE
m351,646,y3,NEED_SCORE
m352,670,y3,NEED_SCORE
m353,633,y3,NEED_SCORE
m354,653,y3,NEED_SCORE
m355,661,y3,NEED_SCORE
m356,658,y3,NEED_SCORE
m357,645,y3,NEED_SCORE
m358,673,y3,NEED_SCORE
m359,679,y2,NEED_SCORE
m360,686,y2,NEED_SCORE
m361,672,y2,NEED_SCORE
m362,692,y2,NEED_SCORE
m363,691,y2,NEED_SCORE
m364,707,y2,NEED_SCORE
m365,644,y2,NEED_SCORE
m366,677,y2,NEED_SCORE
m367,641,y2,NEED_SCORE
m368,684,y2,NEED_SCORE
m369,646,y2,NEED_SCORE
m370,690,y2,NEED_SCORE
m371,646,y2,NEED_SCORE
m372,692,y2,NEED_SCORE
m373,633,y2,NEED_SCORE
m374,682,y2,NEED_SCORE
m375,408,y2,NEED_SCORE
m376,413,y2,NEED_SCORE
m377,664,y2,NEED_SCORE
m378,694,y2,NEED_SCORE
m379,663,y2,NEED_SCORE
m380,686,y2,NEED_SCORE
m381,660,y2,NEED_SCORE
m382,689,y2,NEED_SCORE
m383,663,y2,NEED_SCORE
m384,691,y2,NEED_SCORE
m385,666,y2,NEED_SCORE
m386,687,y2,NEED_SCORE
m387,672,y2,NEED_SCORE
m388,695,y2,NEED_SCORE
m389,679,y2,NEED_SCORE
m390,694,y2,NEED_SCORE
m391,654,y2,NEED_SCORE
m392,679,y2,NEED_SCORE
m393,654,y2,NEED_SCORE
m394,683,y2,NEED_SCORE
m395,885,y2,NEED_SCORE
m396,866,y2,NEED_SCORE
m397,634,y2,NEED_SCORE
m398,695,y2,NEED_SCORE
m399,642,y2,NEED_SCORE
m400,690,y2,NEED_SCORE
m401,695,y2,NEED_SCORE
m402,684,y2,NEED_SCORE
m403,684,y2,NEED_SCORE
m404,705,y2,NEED_SCORE
m405,663,y2,NEED_SCORE
m406,699,y2,NEED_SCORE
m407,623,y2,NEED_SCORE
m408,674,y2,NEED_SCORE
m409,619,y2,NEED_SCORE
m410,651,y2,NEED_SCORE
m411,650,y2,NEED_SCORE
m412,665,y2,NEED_SCORE
m413,639,y2,NEED_SCORE
m414,680,y2,NEED_SCORE
m415,673,y2,NEED_SCORE
m416,689,y2,NEED_SCORE
m417,660,y1,NEED_SCORE
m418,671,y1,NEED_SCORE
m419,650,y1,NEED_SCORE
m420,682,y1,NEED_SCORE
m421,664,y1,NEED_SCORE
m422,693,y1,NEED_SCORE
m423,621,y1,NEED_SCORE
m424,646,y1,NEED_SCORE
m425,621,y1,NEED_SCORE
m426,677,y1,NEED_SCORE
m427,638,y1,NEED_SCORE
m428,682,y1,NEED_SCORE
m429,640,y1,NEED_SCORE
m430,670,y1,NEED_SCORE
m431,633,y1,NEED_SCORE
m432,680,y1,NEED_SCORE
m433,405,y1,NEED_SCORE
m434,415,y1,NEED_SCORE
m435,643,y1,NEED_SCORE
m436,677,y1,NEED_SCORE
m437,627,y1,NEED_SCORE
m438,651,y1,NEED_SCORE
m439,648,y1,NEED_SCORE
m440,673,y1,NEED_SCORE
m441,647,y1,NEED_SCORE
m442,689,y1,NEED_SCORE
m443,647,y1,NEED_SCORE
m444,672,y1,NEED_SCORE
m445,658,y1,NEED_SCORE
m446,684,y1,NEED_SCORE
m447,666,y1,NEED_SCORE
m448,674,y1,NEED_SCORE
m449,640,y1,NEED_SCORE
m450,671,y1,NEED_SCORE
m451,658,y1,NEED_SCORE
m452,670,y1,NEED_SCORE
m453,881,y1,NEED_SCORE
m454,865,y1,NEED_SCORE
m455,646,y1,NEED_SCORE
m456,689,y1,NEED_SCORE
m457,650,y1,NEED_SCORE
m458,688,y1,NEED_SCORE
m459,683,y1,NEED_SCORE
m460,669,y1,NEED_SCORE
m461,676,y1,NEED_SCORE
m462,690,y1,NEED_SCORE
m463,668,y1,NEED_SCORE
m464,699,y1,NEED_SCORE
m465,626,y1,NEED_SCORE
m466,660,y1,NEED_SCORE
m467,608,y1,NEED_SCORE
m468,639,y1,NEED_SCORE
m469,645,y1,NEED_SCORE
m470,650,y1,NEED_SCORE
m471,631,y1,NEED_SCORE
m472,669,y1,NEED_SCORE
m473,630,y1,NEED_SCORE
m474,665,y1,NEED_SCORE
m475,666,y3,NEED_SCORE
m476,649,y3,NEED_SCORE
m477,673,y3,NEED_SCORE
m478,651,y3,NEED_SCORE
m479,675,y3,NEED_SCORE
m480,658,y3,NEED_SCORE
m481,672,y3,NEED_SCORE
m482,652,y3,NEED_SCORE
m483,671,y3,NEED_SCORE
m484,653,y3,NEED_SCORE
m485,676,y3,NEED_SCORE
m486,654,y3,NEED_SCORE
m487,674,y3,NEED_SCORE
m488,654,y3,NEED_SCORE
m489,673,y3,NEED_SCORE
m490,671,y3,NEED_SCORE
m491,651,y3,NEED_SCORE
m492,652,y3,NEED_SCORE
m493,671,y3,NEED_SCORE
m494,651,y3,NEED_SCORE
m495,673,y3,NEED_SCORE
m496,654,y3,NEED_SCORE
m497,676,y3,NEED_SCORE
m498,656,y3,NEED_SCORE
m499,648,y3,NEED_SCORE
m500,639,y3,NEED_SCORE
m501,648,y3,NEED_SCORE
m502,626,y3,NEED_SCORE
m503,648,y3,NEED_SCORE
m504,627,y3,NEED_SCORE
m505,614,y3,NEED_SCORE
m506,585,y3,NEED_SCORE
m507,617,y3,NEED_SCORE
m508,634,y3,NEED_SCORE
m509,690,y3,NEED_SCORE
m510,647,y3,NEED_SCORE
m511,690,y3,NEED_SCORE
m512,638,y3,NEED_SCORE
m513,687,y3,NEED_SCORE
m514,640,y3,NEED_SCORE
m515,692,y3,NEED_SCORE
m516,638,y3,NEED_SCORE
m517,692,y3,NEED_SCORE
m518,647,y3,NEED_SCORE
m519,689,y3,NEED_SCORE
m520,687,y3,NEED_SCORE
m521,637,y3,NEED_SCORE
m522,637,y3,NEED_SCORE
m523,688,y3,NEED_SCORE
m524,640,y3,NEED_SCORE
m525,669,y3,NEED_SCORE
m526,622,y3,NEED_SCORE
m527,613,y3,NEED_SCORE
m528,672,y3,NEED_SCORE
m529,663,y3,NEED_SCORE
m530,685,y3,NEED_SCORE
m531,669,y3,NEED_SCORE
m532,684,y3,NEED_SCORE
m533,671,y3,NEED_SCORE
m534,680,y3,NEED_SCORE
m535,667,y3,NEED_SCORE
m536,667,y3,NEED_SCORE
m537,690,y3,NEED_SCORE
m538,672,y3,NEED_SCORE
m539,687,y3,NEED_SCORE
m540,669,y3,NEED_SCORE
m541,679,y3,NEED_SCORE
m542,679,y3,NEED_SCORE
m543,666,y3,NEED_SCORE
m544,668,y3,NEED_SCORE
m545,679,y3,NEED_SCORE
m546,667,y3,NEED_SCORE
m547,679,y3,NEED_SCORE
m548,669,y3,NEED_SCORE
m549,665,y3,NEED_SCORE
m550,652,y3,NEED_SCORE
m551,662,y3,NEED_SCORE
m552,660,y3,NEED_SCORE
m553,650,y3,NEED_SCORE
m554,648,y3,NEED_SCORE
m555,641,y3,NEED_SCORE
m556,636,y3,NEED_SCORE
m557,643,y3,NEED_SCORE
m558,644,y3,NEED_SCORE
m559,559,y3,NEED_SCORE
m560,586,y3,NEED_SCORE
m561,606,y3,NEED_SCORE
m562,624,y3,NEED_SCORE
m563,655,y3,NEED_SCORE
m564,628,y3,NEED_SCORE
m565,647,y3,NEED_SCORE
m566,625,y3,NEED_SCORE
m567,624,y3,NEED_SCORE
m568,659,y3,NEED_SCORE
m569,628,y3,NEED_SCORE
m570,652,y3,NEED_SCORE
m571,628,y3,NEED_SCORE
m572,646,y3,NEED_SCORE
m573,622,y3,NEED_SCORE
m574,623,y3,NEED_SCORE
m575,645,y3,NEED_SCORE
m576,623,y3,NEED_SCORE
m577,647,y3,NEED_SCORE
m578,624,y3,NEED_SCORE
m579,610,y3,NEED_SCORE
m580,594,y3,NEED_SCORE
m581,631,y3,NEED_SCORE
m582,591,y3,NEED_SCORE
m583,619,y3,NEED_SCORE
m584,591,y3,NEED_SCORE
m585,605,y3,NEED_SCORE
m586,590,y3,NEED_SCORE
m587,609,y3,NEED_SCORE
m588,592,y3,NEED_SCORE
m589,673,y3,NEED_SCORE
m590,651,y3,NEED_SCORE
m591,677,y3,NEED_SCORE
m592,652,y3,NEED_SCORE
m593,665,y3,NEED_SCORE
m594,652,y3,NEED_SCORE
m595,666,y3,NEED_SCORE
m596,649,y3,NEED_SCORE
m597,665,y3,NEED_SCORE
m598,648,y3,NEED_SCORE
m599,668,y3,NEED_SCORE
m600,651,y3,NEED_SCORE
m601,623,y3,NEED_SCORE
m602,653,y3,NEED_SCORE
m603,644,y3,NEED_SCORE
m604,621,y3,NEED_SCORE
m605,634,y3,NEED_SCORE
m606,643,y3,NEED_SCORE
m607,640,y3,NEED_SCORE
m608,659,y3,NEED_SCORE
m609,650,y3,NEED_SCORE
m610,683,y3,NEED_SCORE
m611,657,y3,NEED_SCORE
m612,675,y3,NEED_SCORE
m613,654,y3,NEED_SCORE
m614,653,y3,NEED_SCORE
m615,682,y3,NEED_SCORE
m616,654,y3,NEED_SCORE
m617,679,y3,NEED_SCORE
m618,658,y3,NEED_SCORE
m619,672,y3,NEED_SCORE
m620,654,y3,NEED_SCORE
m621,653,y3,NEED_SCORE
m622,652,y3,NEED_SCORE
m623,673,y3,NEED_SCORE
m624,655,y3,NEED_SCORE
m625,633,y3,NEED_SCORE
m626,649,y3,NEED_SCORE
m627,634,y3,NEED_SCORE
m628,648,y3,NEED_SCORE
m629,635,y3,NEED_SCORE
m630,606,y3,NEED_SCORE
m631,614,y3,NEED_SCORE
m632,659,y3,NEED_SCORE
m633,632,y3,NEED_SCORE
m634,667,y3,NEED_SCORE
m635,629,y3,NEED_SCORE
m636,673,y3,NEED_SCORE
m637,641,y3,NEED_SCORE
m638,669,y3,NEED_SCORE
m639,634,y3,NEED_SCORE
m640,631,y3,NEED_SCORE
m641,671,y3,NEED_SCORE
m642,637,y3,NEED_SCORE
m643,670,y3,NEED_SCORE
m644,640,y3,NEED_SCORE
m645,666,y3,NEED_SCORE
m646,626,y3,NEED_SCORE
m647,632,y3,NEED_SCORE
m648,631,y3,NEED_SCORE
m649,637,y3,NEED_SCORE
m650,656,y3,NEED_SCORE
m651,634,y3,NEED_SCORE
m652,594,y3,NEED_SCORE
m653,636,y3,NEED_SCORE
m654,594,y3,NEED_SCORE
m655,637,y3,NEED_SCORE
m656,597,y3,NEED_SCORE
m657,606,y3,NEED_SCORE
m658,659,y3,NEED_SCORE
m659,631,y3,NEED_SCORE
m660,639,y3,NEED_SCORE
m661,674,y3,NEED_SCORE
m662,637,y3,NEED_SCORE
m663,679,y3,NEED_SCORE
m664,639,y3,NEED_SCORE
m665,675,y3,NEED_SCORE
m666,637,y3,NEED_SCORE
m667,674,y3,NEED_SCORE
m668,633,y3,NEED_SCORE
m669,674,y3,NEED_SCORE
m670,636,y3,NEED_SCORE
m671,633,y3,NEED_SCORE
m672,673,y3,NEED_SCORE
m673,636,y3,NEED_SCORE
m674,663,y3,NEED_SCORE
m675,642,y3,NEED_SCORE
m676,611,y3,NEED_SCORE
m677,645,y3,NEED_SCORE
m678,603,y3,NEED_SCORE
m679,646,y3,NEED_SCORE
m680,601,y3,NEED_SCORE
m681,647,y3,NEED_SCORE
m682,603,y3,NEED_SCORE
m683,515,y3,NEED_SCORE
m684,582,y3,NEED_SCORE
m685,579,y3,NEED_SCORE
m686,581,y3,NEED_SCORE
m687,588,y3,NEED_SCORE
m688,582,y3,NEED_SCORE
m689,582,y3,NEED_SCORE
m690,557,y3,NEED_SCORE
m691,557,y3,NEED_SCORE
m692,410,y3,NEED_SCORE
m693,404,y3,NEED_SCORE
m694,409,y3,NEED_SCORE
m695,401,y3,NEED_SCORE
m696,413,y3,NEED_SCORE
m697,403,y3,NEED_SCORE
m698,410,y3,NEED_SCORE
m699,402,y3,NEED_SCORE
m700,407,y3,NEED_SCORE
m701,407,y3,NEED_SCORE
m702,400,y3,NEED_SCORE
m703,400,y3,NEED_SCORE
m704,406,y3,NEED_SCORE
m705,400,y3,NEED_SCORE
m706,401,y3,NEED_SCORE
