major (origin),major2 (disambiguated)
物理学(师范),物理学
物理学（严济慈物理学英才班）,物理学
物理学（免费师范）,物理学
物理学（单列类）,物理学
物理学（预科）,物理学
物理学(基地班),物理学
物理学（基地班）,物理学
物理学（基础学科拔尖人才培养实验班）,物理学
物理学（普通类）,物理学
物理学类,物理学
物理学类 ,物理学
物理学类(含应用物理学、光电信息科学与工程专业),物理学
物理学类（应用物理学、物理学、电子信息科学与技术）,物理学
物理学类（物理学、应用物理学）,物理学
物理学类(物理学、应用物理学),物理学
物理学类(物理学、应用物理学) ,物理学
物理学类（按光电技术与物理类培养）,物理学
物理菁英班,物理学
物理菁英班（国家专项）,物理学
物联网工程,信息与通讯工程
物联网工程（中外合作办学）,信息与通讯工程
物联网工程(汉),信息与通讯工程
物联网工程（汉）,信息与通讯工程
物联网工程（民）,信息与通讯工程
物联网工程(民),信息与通讯工程
物联网工程（单列四年）,信息与通讯工程
物联网工程（单列类）,信息与通讯工程
物联网工程（普通类）,信息与通讯工程
侦查学（刑事侦查）,军事情报学
侦查学（经济侦查）,军事情报学
质量管理工程,管理学
金属材料工程,材料加工工程
金属材料工程（日语强化）,材料加工工程
金融工程,冶金工程
金融学,金融学（含∶保险学）
金融学  (  国际金融  ),金融学（含∶保险学）
金融学  (  金融经济  ),金融学（含∶保险学）
金融学  (  金融科技  ),金融学（含∶保险学）
金融学（121项目）,金融学（含∶保险学）
金融学(专项理）,金融学（含∶保险学）
金融学（五年）,金融学（含∶保险学）
金融学（中外合作办学）,金融学（含∶保险学）
金融学（中外合作办学类）,金融学（含∶保险学）
金融学(中美校际交流),金融学（含∶保险学）
金融学（双语实验班）,金融学（含∶保险学）
金融学（双语类）,金融学（含∶保险学）
金融学（双培计划）,金融学（含∶保险学）
金融学(含国际化班),金融学（含∶保险学）
金融学（证券与期货方向）,金融学（含∶保险学）
金融学（国际组织与全球治理）,金融学（含∶保险学）
金融学（国家贫困专项）,金融学（含∶保险学）
金融学（金融工程）,金融学（含∶保险学）
金融学（金融科技）,金融学（含∶保险学）
金融学（单列）,金融学（含∶保险学）
金融学（单列类）,金融学（含∶保险学）
金融学(定向),金融学（含∶保险学）
金融学（俄语与俄语国家研究）,金融学（含∶保险学）
金融学（厦门大学与爱尔兰都柏林商学院合作举办）,金融学（含∶保险学）
金融学（厦门大学马来西亚分校）,金融学（含∶保险学）
金融学（普通类）,金融学（含∶保险学）
金融学（数量金融）,金融学（含∶保险学）
金融学类,金融学（含∶保险学）
金融学类（中外合作办学,金融学（含∶保险学）
金融学类（中外合作办学）,金融学（含∶保险学）
金融学类(中外合作办学)(金融学)(亚澳),金融学（含∶保险学）
金融学类(中外合作办学)（金融学）（亚澳商学院）,金融学（含∶保险学）
金融学类（中外合作办学））,金融学（含∶保险学）
金融学类（文）,金融学（含∶保险学）
金融学类(弘毅学堂数理经济与数理金融试验班),金融学（含∶保险学）
金融学类（含:金融学）,金融学（含∶保险学）
金融学类（国家专项）,金融学（含∶保险学）
金融学类（金融学）,金融学（含∶保险学）
金融学类(金融学、保险学),金融学（含∶保险学）
金融学类（金融学、保险学）,金融学（含∶保险学）
金融学类(金融学、保险学) ,金融学（含∶保险学）
金融学类（经济学）,金融学（含∶保险学）
金融学类（高校专项）,金融学（含∶保险学）
金融学类（理）,金融学（含∶保险学）
金融学类（厦门大学与爱尔兰都柏林商学院合作举办）,金融学（含∶保险学）
金融学类(数理经济与数理金融试验班),金融学（含∶保险学）
金融类,金融学（含∶保险学）
金融数学,金融学（含∶保险学）
金融数学(中美校际交流),金融学（含∶保险学）
采矿工程,采矿工程
采矿工程（双语类）,采矿工程
采矿工程（地矿）,采矿工程
采矿工程(地矿专业),矿业工程
采矿工程（地矿专业）,矿业工程
采矿工程（单列）,采矿工程
采矿工程(提前批),采矿工程
采矿工程（提前批）,采矿工程
采矿工程（普通类）,采矿工程
服装与服饰设计,服装设计与工程
服装与服饰设计（双语类）,服装设计与工程
服装与服饰设计（单列）,服装设计与工程
服装与服饰设计（普通类）,服装设计与工程
服装设计与工程,服装设计与工程
服装设计与工程（双语类）,服装设计与工程
服装设计与工程（普通类）,服装设计与工程
服装设计与工程（普通类/工）,服装设计与工程
法医学,法医学
法医学（五年制）,法医学
法学,法学
法学 ,法学
法学(专项文）,法学
法学（文）,法学
法学（文科）,法学
法学（双语类）,法学
法学（本硕贯通卓越法律人才实验班）,法学
法学（汉）,法学
法学（民考汉）,法学
法学（民商法律）,法学
法学（刑事法律）,法学
法学（沪港合作涉外卓越法律人才实验班）,法学
法学（沪港交流涉外卓越法律人才实验班）,法学
法学（卓越实验班）,法学
法学（国际经济法）,国际法学（含：国际公法、国际私法、国际经济法
法学（国家专项）,法学
法学（国家贫困专项）,法学
法学(知识产权),法学
法学（单列）,法学
法学（单列类）,法学
法学（法学与会计学双学位班）,法学
法学（经济法）,经济法学
法学(经济法）,经济法学
法学(南单文）,法学
法学（南疆计划）,法学
法学（高校专项）,法学
法学（涉外卓越国际金融法律人才实验班）,法学
法学（涉外卓越商事法律人才实验班）,法学
法学(涉外法律方向),法学
法学（理）,法学
法学（普通类）,法学
法学（蒙授）,法学
法学（藏）,法学
法学（瀚德实验1班）西班牙语,法学
法学（瀚德实验1班西班牙语，仅招有专业志愿考生）,法学
法学（瀚德实验1班西班牙语仅，招有专业志愿考生）,法学
法学（瀚德实验2班）法语,法学
法学（瀚德实验2班法语，仅招有专业志愿考生）,法学
法学（瀚德实验班1班）西班牙语,法学
法学（瀚德实验班2班法语，仅招有专业志愿考生）,法学
法学类,法学
法学类（卓越人才实验班）,法学
法学类（卓越法律人才实验班）,法学
法学类(卓越法律人才实验班）,法学
法学类（法学）,法学
法学类(法学、社会学),法学
法学类（法学、知识产权）,法学
法学类(法学、知识产权),法学
法律（民商法律）,民商法学（含：劳动法学、社会保障法学）
法语,法语语言文学
法语（中外合作办学）,法语语言文学
法语（国际关系）,法语语言文学
油气储运工程,油气储运工程
油气储运工程(面向泉州),油气储运工程
油气储运工程（面向泉州）,油气储运工程
波兰语,欧洲语言文学
波斯语,阿拉伯语语言文学
治安学,管理学
学前教育,学前教育学
学前教育（仅招有专业志愿考生）,学前教育学
学前教育（仅招有专业志愿报考考生）,学前教育学
学前教育（公费师范生，仅招有专业志愿考生）,学前教育学
学前教育(师范),学前教育学
学前教育（师范）,学前教育学
学前教育（师范类),学前教育学
学前教育（师范类）,学前教育学
学前教育（免费师范）,学前教育学
学前教育（预科）,学前教育学
学前教育类,学前教育学
宝石及材料工艺学,材料学
审计学,统计学
空间电子信息类,空间物理学
空间科学与技术,航空宇航科学与技术
空间信息与数字技术,地球探测与信息技术
房地产开发与管理,土地资源管理
视觉传达设计,设计艺术学
视觉传达设计(双语类),设计艺术学
视觉传达设计（单列）,设计艺术学
视觉传达设计（普通类）,设计艺术学
建筑电气与智能化,农业电气化与自动化
建筑电气与智能化(汉),农业电气化与自动化
建筑电气与智能化(民),农业电气化与自动化
建筑电气与智能化（民）,农业电气化与自动化
建筑电气与智能化（单列四年）,农业电气化与自动化
建筑电气与智能化（定向）,农业电气化与自动化
建筑电气与智能化(定向),农业电气化与自动化
建筑电气与智能化（普通类）,农业电气化与自动化
建筑环境与能源应用工程,农业生物环境与能源工程
建筑环境与能源应用工程（双语类）,农业生物环境与能源工程
建筑环境与能源应用工程（单列）,农业生物环境与能源工程
建筑环境与能源应用工程（普通类）,农业生物环境与能源工程
建筑学,建筑学
建筑学(五年),建筑学
建筑学（双语类）,建筑学
建筑学（单列类）,建筑学
建筑学（普通类）,建筑学
建筑类,建筑学
建筑类（五年制）,建筑学
经济,经济学
经济与金融,经济学
经济与贸易类,经济学
经济与贸易类（中外合作办学）,经济学
经济与贸易类（中外合作办学））,经济学
经济与贸易类（汉）,经济学
经济与贸易类（含国际经济与贸易）,经济学
经济与贸易类（国际经济与贸易）,国际贸易学
经济与贸易类（国际经济与贸易、金融学）,国际贸易学
经济与贸易类（藏）,经济学
经济学,经济学
经济学（中外合作办学）,经济学
经济学(中外合作办学),经济学
经济学（文）,经济学
经济学（双语类）,经济学
经济学（创新实验班）,经济学
经济学（国家经济学基础人才培养基地班）,国民经济学
经济学（单列）,经济学
经济学（单列类）,经济学
经济学(实验班),经济学
经济学（实验班）,经济学
经济学(实验班）,经济学
经济学（理）,理论经济学
经济学(基地班),经济学
经济学（普通类）,经济学
经济学(数理经济实验班),经济学
经济学专业（中外合作办学）,经济学
经济学类,经济学
经济学类 ,经济学
经济学类  (  财经类）,经济学
经济学类  (  经贸类  ),经济学
经济学类  （经贸类）,经济学
经济学类(中外合作办学),经济学
经济学类(中美121双学位班，全英文科教学),经济学
"经济学类(中美联合培养121国际班,全英文科教学)",经济学
经济学类（代表经济管理类）,经济学
经济学类（民考汉）,经济学
经济学类(全英文科教学，中美121双学位班),经济学
经济学类（财经类）,经济学
经济学类(含经济学、金融学专业),经济学
经济学类（国际经济与贸易、经济学）,国际贸易学
"经济学类(国际经济与贸易全英文科教学,中美联合培养121国际班)",国际贸易学
经济学类（国家专项）,经济学
经济学类（国家专项计划）,经济学
经济学类(金融学、国际经济与贸易、经济学、统计学),国际贸易学
经济学类（金融学、国际经济与贸易、经济学、统计学）（按经济类培养,国际法学（含：国际公法、国际私法、国际经济法
"经济学类(金融学全英文科教学,中美联合培养121国际班)",经济学
经济学类（经贸类）,经济学
经济学类(经济学),经济学
经济学类（经济学、国际经济与贸易）,国际贸易学
经济学类(经济学、经济统计学、国民经济管理),国民经济学
经济学类（经济学、经济统计学、国民经济管理）,国民经济学
经济学类（经济管理类）,经济学
经济学类（按经济类招生，含金融学、国际经济与贸易、经济学、统计学,经济学
经济学类(按经济类培养),经济学
经济学类（按经济类培养）,经济学
经济学类(按经济类培养)(金融学、国际经济与,经济学
经济学类(按经济类培养)(金融学、国际经济与贸易、经济学、统计学),国际贸易学
经济学类（按经济类培养，金融学、国际经济与贸易、经济学、统计学）,经济学
经济学类（按经济类培养;金融学、国际经济与贸易、经济学、统计学）,经济学
经济学类理类）,经济学
经济学基地班,经济学
经济类,经济学
经济统计学,经济学
经济管理试验班,经济学
经济管理试验班(民族班),经济学
经济管理试验班（国家专项）,经济学
经济管理试验班(国家专项),经济学
经济管理类,经济学
经管实验班,经济学
经管类实验班,经济学
城乡规划,城市规划与设计(含∶风景园林规划与设计)
城乡规划(五年),城市规划与设计(含∶风景园林规划与设计)
城乡规划（五年制）,城市规划与设计(含∶风景园林规划与设计)
城乡规划（双语类）,城市规划与设计(含∶风景园林规划与设计)
城乡规划（汉）,城市规划与设计(含∶风景园林规划与设计)
城乡规划（民）,城市规划与设计(含∶风景园林规划与设计)
城乡规划(民),城市规划与设计(含∶风景园林规划与设计)
城乡规划（单列）,城市规划与设计(含∶风景园林规划与设计)
城乡规划（单列类）,城市规划与设计(含∶风景园林规划与设计)
城乡规划（普通类）,城市规划与设计(含∶风景园林规划与设计)
城市地下空间工程,市政工程
城市管理科,管理学
政治与行政学,政治学
政治与行政学(专项文）,宪法学与行政法学
政治学、经济学与哲学（PPE实验班）,政治经济学
政治学与行政学,政治学
政治学与行政学（公共政策与国际组织）,国际政治
政治学与行政学（双语类）,宪法学与行政法学
政治学与行政学（国家贫困专项）,宪法学与行政法学
政治学与行政学（单列）,宪法学与行政法学
政治学与行政学（单列类）,宪法学与行政法学
政治学与行政学（普通类）,宪法学与行政法学
政治学类,政治学
政治学类 ,政治学
政治学类（国际政治、思想政治教育）,思想政治教育
按光电技术与物理类招生,电工理论与新技术
按材料类招生,材料学
草业科学,草业科学
草业科学 ,草业科学
草业科学（草坪科学与管理方向）,草业科学
草业科学(基地班),草业科学
草业科学基地班,草业科学
茶学,茶学
茶学（茶学院）,茶学
药物制剂,药剂学
药学,药学
药学 ,药学
药学(专项理）,药理学
药学（专科）,农药学（可授农学、理学学位）
药学（生物药学基地班）,药学
药学(全英文创新实验班),药学
药学(全英文科教学),药学
药学（创新实验班）,农药学（可授农学、理学学位）
药学（国家贫困专项）,农药学（可授农学、理学学位）
药学(南单理）,药理学
药学类,药学
药学类(含药学、药物制剂专业),药剂学
药学类（药学、药物制剂）,农药学（可授农学、理学学位）
标准化工程,管理学
轻工类,轻工技术与工程
轻工类(中外合作办学)(轻化工程),轻工技术与工程
轻工类(含印刷工程、包装工程),轻工技术与工程
轻化工程,轻工技术与工程
轻化工程(中外合作办学),轻工技术与工程
临床医学,临床医学
临床医学 ,临床医学
临床医学(5+3),临床医学
临床医学(5+3一体化),临床医学
临床医学（5+3一体化培养）,临床医学
临床医学(5+3一体化培养),临床医学
临床医学（八年）,临床医学
临床医学(八年),临床医学
临床医学(八年制),临床医学
临床医学（八年制）,临床医学
临床医学(口腔),口腔临床医学
临床医学（口腔医学）,口腔临床医学
临床医学(专项理）,临床医学
临床医学（专科）,临床医学
临床医学(五加三一体化),临床医学
临床医学（五年）,临床医学
临床医学(五年),临床医学
临床医学（五年制）,临床医学
临床医学（分院）,临床医学
临床医学（六年、临床医学专业中德实验班）,临床医学
临床医学（六年制中德实验班）,临床医学
临床医学(本硕连读),临床医学
临床医学（本硕博贯通培养）,临床医学
临床医学(本博连读),临床医学
临床医学(汉语),临床医学
临床医学（民考汉）,临床医学
临床医学(免费医学定向),临床医学
临床医学（国家贫困专项）,临床医学
临床医学（学制5年）,临床医学
临床医学（定向）,临床医学
临床医学（贯通培养）,临床医学
临床医学（南疆单列专科）,临床医学
临床医学(藏语),临床医学
临床医学类,临床医学
临床医学类 ,临床医学
临床医学类（中外合作办学）,临床医学
临床药学,临床医学
临床药学 ,临床医学
省内预科班,省内预科班
省外预科班,省内预科班
思想政治教育,思想政治教育
思想政治教育 ,思想政治教育
思想政治教育（公费师范）,思想政治教育
思想政治教育（公费师范） ,思想政治教育
思想政治教育（双语类）,思想政治教育
思想政治教育(师范),思想政治教育
思想政治教育（师范）,思想政治教育
思想政治教育（免费师范）,思想政治教育
思想政治教育（单列）,思想政治教育
思想政治教育（单列类）,思想政治教育
思想政治教育（预科）,思想政治教育
思想政治教育（普通类）,思想政治教育
思想政治教育（藏）,思想政治教育
种子科学与工程,农业工程
科技与创意设计试验班,计算机科学与技术
科学教育,教育学
科学教育（师范）,教育学
科学教育（师范类）,教育学
科学教育学,教育学
复合材料与工程,材料科学与工程
保险学,金融学（含∶保险学）
保险学  (  保险与风险管理  ),金融学（含∶保险学）
保险学  (  保险精算  ),金融学（含∶保险学）
保险学（财务与会计双语实验班）,金融学（含∶保险学）
保险学（精算双语实验班）,金融学（含∶保险学）
俄语,俄语语言文学
俄语 ,俄语语言文学
俄语（文史）,俄语语言文学
俄语（双语类）,俄语语言文学
俄语（金融）,俄语语言文学
俄语（单列）,俄语语言文学
俄语（单列类）,俄语语言文学
俄语（俄语翻译）,俄语语言文学
俄语（理工）,俄语语言文学
俄语（普通类）,俄语语言文学
信用管理,管理学
信息工程,信息与通讯工程
信息工程（航天信息应用）,信息与通讯工程
信息与计算科学,计算机科学与技术
信息与计算科学（双语类）,计算机科学与技术
信息与计算科学（单列）,计算机科学与技术
信息与计算科学（单列类）,计算机科学与技术
信息与计算科学（普通类）,计算机科学与技术
信息与通信工程类,信息与通讯工程
信息对抗技术,地球探测与信息技术
信息安全,通信与信息系统
