:START_ID,:END_ID,:TYPE
m642,s2,IS_SUBJECT
m643,s1,IS_SUBJECT
m644,s2,IS_SUBJECT
m645,s1,IS_SUBJECT
m646,s2,IS_SUBJECT
m647,s1,IS_SUBJECT
m648,s1,IS_SUBJECT
m649,s1,IS_SUBJECT
m650,s1,IS_SUBJECT
m651,s2,IS_SUBJECT
m652,s2,IS_SUBJECT
m653,s1,IS_SUBJECT
m654,s2,IS_SUBJECT
m655,s1,IS_SUBJECT
m656,s2,IS_SUBJECT
m657,s1,IS_SUBJECT
m658,s1,IS_SUBJECT
m659,s2,IS_SUBJECT
m660,s1,IS_SUBJECT
m661,s1,IS_SUBJECT
m662,s2,IS_SUBJECT
m663,s1,IS_SUBJECT
m664,s2,IS_SUBJECT
m665,s1,IS_SUBJECT
m666,s2,IS_SUBJECT
m667,s1,IS_SUBJECT
m668,s2,IS_SUBJECT
m669,s1,IS_SUBJECT
m670,s2,IS_SUBJECT
m671,s1,IS_SUBJECT
m672,s1,IS_SUBJECT
m673,s2,IS_SUBJECT
m674,s1,IS_SUBJECT
m675,s2,IS_SUBJECT
m676,s2,IS_SUBJECT
m677,s1,IS_SUBJECT
m678,s2,IS_SUBJECT
m679,s1,IS_SUBJECT
m680,s2,IS_SUBJECT
m681,s1,IS_SUBJECT
m682,s2,IS_SUBJECT
m683,s1,IS_SUBJECT
m684,s1,IS_SUBJECT
m685,s3,IS_SUBJECT
m686,s3,IS_SUBJECT
m687,s3,IS_SUBJECT
m688,s3,IS_SUBJECT
m689,s3,IS_SUBJECT
m690,s3,IS_SUBJECT
m691,s3,IS_SUBJECT
m692,s3,IS_SUBJECT
m693,s2,IS_SUBJECT
m694,s1,IS_SUBJECT
m695,s2,IS_SUBJECT
m696,s1,IS_SUBJECT
m697,s2,IS_SUBJECT
m698,s1,IS_SUBJECT
m699,s2,IS_SUBJECT
m700,s1,IS_SUBJECT
m701,s2,IS_SUBJECT
m702,s2,IS_SUBJECT
