major,firstDiscipline,SubjectCategory
电子信息类（含电子信息工程、电子科学与技术、微电子科学与工程、电子信息科学与技术、生物医学工程）,电子科学与技术,工学
电子信息类（国家专项理）,电子商务,管理学
电子信息类（国家专项计划）,电子商务,管理学
电子信息类（实验班）,电子商务,管理学
电子信息类（微电子与集成电路）,电子科学与技术,工学
电子信息类（汉）,电子商务,管理学
电子信息类（深圳市就读）,电子商务,管理学
电子信息类（物理与光电工程）,信息与通信工程,工学
电子信息类（电信学院）,电子科学与技术,工学
电子信息类（电子、电子（微毫米波）、信息工程）,信息与通信工程,工学
电子信息类（电子信息工程、电子科学与技术、集成电路设计与集成系,电子科学与技术,工学
电子信息类（电子信息工程、电子科学与技术、集成电路设计与集成系统,电子科学与技术,工学
电子信息类（电子信息工程、通信工程、计算机科学与工程、数字媒体技术）,计算机科学与技术,工学
"电子信息类（电子信息工程、通信工程、计算机科学与技术、数字媒体技术
）",计算机科学与技术,工学
电子信息类（电子信息工程、通信工程、计算机科学与技术、数字媒体技术）,计算机科学与技术,工学
电子信息类（电子信息工程、通信工程）,信息与通信工程,工学
电子信息类（电子信息类、通信工程、计算机科学与技术、数字媒体技术）,计算机科学与技术,工学
电子信息类（电子科学与技术、电子信息工程、光电信息科学与工程、通信工程、微电子科学与工程）,电子科学与技术,工学
电子信息类（电气信息类创新实验班）,信息与通信工程,工学
电子信息类（空间电子信息）,信息与通信工程,工学
电子信息类（自动化与电气工程类）,信息与通信工程,工学
电子信息类（通信与控制）,信息与通信工程,工学
电子信息类（通信工程、电子信息科学与技术）,电子科学与技术,工学
电子信息类（高校专项理）,电子商务,管理学
电子商务,电子商务,管理学
电子商务  (  互联网商务  ),电子商务,管理学
电子商务(文史),电子商务,管理学
电子商务(理工),电子商务,管理学
电子商务及法律（中外合作办学）,电子商务,管理学
电子商务类(电子商务、信息管理与信息系统),电子商务,管理学
电子商务（支付结算方向）,电子商务,管理学
电子商务（文史）,电子商务,管理学
电子商务（理工）,电子商务,管理学
电子封装技术,电子科学与技术,工学
电子科学与应用,电子科学与技术,工学
电子科学与技术,电子科学与技术,工学
电子科学与技术(国防生),电子科学与技术,工学
电子科学与技术(微电子技术),电子科学与技术,工学
电子科学与技术(民族班),电子科学与技术,工学
电子科学与技术(第三、四学年在无锡培养),电子科学与技术,工学
电子科学与技术(类),电子科学与技术,工学
电子科学与技术【电子科学与技术、集成电路设计与集成系统】,电子科学与技术,工学
电子科学与技术类,电子科学与技术,工学
电子科学与技术类（第四年在无锡培养）,电子科学与技术,工学
电子科学与技术（类）,电子科学与技术,工学
电影制作,戏剧与影视学,艺术学
电影制作（延长校区）,戏剧与影视学,艺术学
电气工程与智能控制,电气工程,工学
电气工程及其自动化,电气工程,工学
电气工程及其自动化 ,电气工程,工学
电气工程及其自动化(专项理）,电气工程,工学
电气工程及其自动化(中外合作办学),电气工程,工学
电气工程及其自动化(定向)#B9,电气工程,工学
电气工程及其自动化(新能源国际班),电气工程,工学
电气工程及其自动化(民族班),电气工程,工学
电气工程及其自动化(电子信息工程),电气工程,工学
电气工程及其自动化(电子信息工程)(中外合作办学),电气工程,工学
电气工程及其自动化(电子信息工程)(中外合作办学专业),电气工程,工学
电气工程及其自动化(闽台合作),电气工程,工学
电气工程及其自动化（单列）,电气工程,工学
电气工程及其自动化（国家专项计划）,电气工程,工学
电气工程及其自动化（国家贫困专项）,电气工程,工学
电气工程及其自动化（新能源国际班）,电气工程,工学
电气工程及其自动化（普通类）,电气工程,工学
电气工程及其自动化（汉）,电气工程,工学
电气工程及其自动化（电子信息工程)(中外合作办学）,电气工程,工学
电气工程及其自动化（电子信息工程）（中外合作办学）,电气工程,工学
电气工程及其自动化（电气卓越计划实验班）,电气工程,工学
电气工程及其自动化（闽台合作）,电气工程,工学
电气工程及自动化,电气工程,工学
电气类,电气工程,工学
电气类(中外合作办学),电气工程,工学
电气类(中外合作办学)(电气工程及其自动化),电气工程,工学
电气类(定向),电气工程,工学
电气类(电气与自动化类),电气工程,工学
电气类(茅以升学院),电气工程,工学
电气类（中外合作办学）,电气工程,工学
电气类（代表理学工学类）,电气工程,工学
电气类（国家专项理）,电气工程,工学
电气类（工学Ⅲ）,电气工程,工学
电气类（按电气与自动化类培养）,电气工程,工学
电气类（按电气与自动化类培养）（定向）,电气工程,工学
电气类（按电气与自动化类招生，含自动化、电气工程及其自动化）,电气工程,工学
电气类（理学工学类）,电气工程,工学
电气类（电气工程及其自动化、智能电网信息工程）,电气工程,工学
电波传播与天线,电气工程,工学
电磁场与无线技术,电气工程,工学
眼视光医学,基础医学,医学
眼视光医学(五年),基础医学,医学
眼视光学,基础医学,医学
知识产权,法学,法学
知识产权 ,法学,法学
知识产权（卓越人才实验班）,法学,法学
石油工程,石油与天然气工程,工学
矿业类,矿业工程,工学
矿物加工工程,矿业工程,工学
矿物加工工程 ,矿业工程,工学
矿物加工工程(地矿专业),矿业工程,工学
矿物加工工程(提前批),矿业工程,工学
矿物加工工程??,矿业工程,工学
矿物加工工程（地矿专业）,矿业工程,工学
矿物加工工程（地矿）,矿业工程,工学
矿物加工工程（宝玉石学）,矿业工程,工学
矿物加工工程（提前批）,矿业工程,工学
矿物资源工程,矿业工程,工学
社会学,社会学,法学
社会学 ,社会学,法学
社会学(定向),社会学,法学
社会学类,社会学,法学
社会学类(含社会学、社会工作),社会学,法学
社会学类（中外合作办学）,社会学,法学
社会学类（中外合作办学）社会工作,社会学,法学
社会学类（人文社科类）,社会学,法学
社会学类（代表人文社科类）,社会学,法学
社会学类（含社会学、社会工作、劳动与社会保障）,社会学,法学
社会学（单列类）,社会学,法学
社会学（定向）,社会学,法学
社会学（普通类）,社会学,法学
社会学（社会管理）,社会学,法学
社会工作,社会学,法学
社会工作(专项文）,社会学,法学
社会工作（南疆计划）,社会学,法学
社会工作（蒙授）,社会学,法学
社会科学试验班,社会学,法学
社会科学试验班(信息管理类),社会学,法学
社会科学试验班(精品文科班),社会学,法学
社会科学试验班（管理学科类）,社会学,法学
社会科学试验班（管理类）,社会学,法学
社会科学试验班（精品文科班）,社会学,法学
社会科学试验班（经济类）,社会学,法学
种子科学与工程,材料科学与工程,工学
科学教育,教育学,教育学
科学教育学,教育学,教育学
科学教育（师范类）,教育学,教育学
科学教育（师范）,教育学,教育学
科技与创意设计试验班,设计学,艺术学
秘书学,工商管理,管理学
税收学,工商管理,管理学
空间信息与数字技术,航空宇航科学与技术,工学
空间电子信息类,电子商务,管理学
空间科学与技术,核科学与技术,工学
管理科学,管理科学与工程,管理学
管理科学与 ?工程类,管理科学与工程,管理学
管理科学与工程类,管理科学与工程,管理学
管理科学与工程类  （大数据管理类）,管理科学与工程,管理学
管理科学与工程类(信息管理与信息系统、工业工程、电子商务、物流管,管理科学与工程,管理学
管理科学与工程类(含信息管理与信息系统、工程管理、物流管理专业),管理科学与工程,管理学
管理科学与工程类(文),管理科学与工程,管理学
管理科学与工程类(文史),管理科学与工程,管理学
管理科学与工程类(理),管理科学与工程,管理学
管理科学与工程类(理工),管理科学与工程,管理学
管理科学与工程类（中外合作办学）,管理科学与工程,管理学
管理科学与工程类（中外合作）,管理科学与工程,管理学
管理科学与工程类（信息管理与信息系统、工业工程、电子商务、物流,管理科学与工程,管理学
管理科学与工程类（信息管理与信息系统、工业工程、电子商务、物流管,管理科学与工程,管理学
管理科学与工程类（信息管理与信息系统、工业工程、电子商务）,管理科学与工程,管理学
管理科学与工程类（信息管理与信息系统、工业工程）,管理科学与工程,管理学
管理科学与工程类（信息管理与信息系统）,管理科学与工程,管理学
管理科学与工程类（含信息管理与信息系统、工程管理、物流管理、大数据管理与应用）,管理科学与工程,管理学
管理科学与工程类（含信息管理与信息系统、工程管理、物流管理、大数据管理与应用） 国家专项,管理科学与工程,管理学
管理科学与工程类（含信息管理与信息系统、工程管理、物流管理）,管理科学与工程,管理学
管理科学与工程类（含信息管理与信息系统、工程管理、物流管理） 国家专项,管理科学与工程,管理学
管理科学与工程类（含信息管理与信息系统专业、管理科学专业<金融工程方向>）,管理科学与工程,管理学
管理科学与工程类（含信息管理与信息系统）,管理科学与工程,管理学
管理科学与工程类（文科）,管理科学与工程,管理学
管理科学与工程类（文）,管理科学与工程,管理学
管理科学与工程类（理）,管理科学与工程,管理学
管理科学与工程类（管理科学<金融工程方向>,管理科学与工程,管理学
管理科学与工程类（管理科学专业<金融工程方向>）,管理科学与工程,管理学
粉体材料科学与工程,材料科学与工程,工学
精算学,应用经济学,经济学
精细化工,化学工程与技术,工学
纳米材料与技术,材料科学与工程,工学
纺织工程,纺织科学与工程,工学
纺织工程(中外合作办学),纺织科学与工程,工学
纺织工程（定向）（单列）,纺织科学与工程,工学
纺织工程（普通类）,纺织科学与工程,工学
纺织类,纺织科学与工程,工学
纺织类（国家专项计划）,纺织科学与工程,工学
经济,理论经济学,经济学
经济与贸易类,理论经济学,经济学
经济与贸易类（中外合作办学）,理论经济学,经济学
经济与贸易类（中外合作办学））,理论经济学,经济学
经济与贸易类（含国际经济与贸易）,理论经济学,经济学
经济与贸易类（国际经济与贸易、金融学）,理论经济学,经济学
经济与贸易类（国际经济与贸易）,理论经济学,经济学
经济与贸易类（汉）,理论经济学,经济学
经济与金融,理论经济学,经济学
经济学,理论经济学,经济学
经济学(商学院),理论经济学,经济学
经济学(基地班),理论经济学,经济学
经济学(实验班),理论经济学,经济学
经济学(实验班）,理论经济学,经济学
经济学(数理经济实验班),理论经济学,经济学
经济学(经济学院),理论经济学,经济学
经济学基地班,理论经济学,经济学
经济学类,理论经济学,经济学
经济学类 ,理论经济学,经济学
经济学类  (  经贸类  ),理论经济学,经济学
经济学类  (  财经类）,理论经济学,经济学
经济学类  （经贸类）,理论经济学,经济学
经济学类(中美121双学位班，全英文科教学),理论经济学,经济学
"经济学类(中美联合培养121国际班,全英文科教学)",理论经济学,经济学
经济学类(全英文科教学，中美121双学位班),理论经济学,经济学
经济学类(含经济学、金融学专业),理论经济学,经济学
经济学类(国际经济与贸易、财政学、税收学),理论经济学,经济学
"经济学类(国际经济与贸易全英文科教学,中美联合培养121国际班)",理论经济学,经济学
经济学类(按经济类培养),理论经济学,经济学
经济学类(按经济类培养)(金融学、国际经济与,理论经济学,经济学
经济学类(按经济类培养)(金融学、国际经济与贸易、经济学、统计学),理论经济学,经济学
经济学类(经济学),理论经济学,经济学
经济学类(经济学、经济统计学、国民经济管理),理论经济学,经济学
"经济学类(金融学全英文科教学,中美联合培养121国际班)",理论经济学,经济学
经济学类理类）,理论经济学,经济学
经济学类（代表经济管理类）,理论经济学,经济学
经济学类（含经济学、财政学、国际经济与贸易、金融学）,理论经济学,经济学
经济学类（含经济学、财政学、金融学、国际经济与贸易）,理论经济学,经济学
经济学类（国家专项理）,理论经济学,经济学
经济学类（国家专项计划）,理论经济学,经济学
经济学类（国际经济与贸易、经济学）,理论经济学,经济学
经济学类（国际经济与贸易、金融学）,理论经济学,经济学
经济学类（按经济类培养;金融学、国际经济与贸易、经济学、统计学）,理论经济学,经济学
经济学类（按经济类培养）,理论经济学,经济学
经济学类（按经济类培养，金融学、国际经济与贸易、经济学、统计学）,理论经济学,经济学
经济学类（按经济类招生，含金融学、国际经济与贸易、经济学、统计学,理论经济学,经济学
经济学类（民考汉）,理论经济学,经济学
经济学类（经济学、国际经济与贸易）,理论经济学,经济学
经济学类（经济学、经济统计学、国民经济管理）,理论经济学,经济学
经济学类（经济管理类）,理论经济学,经济学
经济学类（经贸类）,理论经济学,经济学
经济学类（财经类）,理论经济学,经济学
经济学类（金融学、国际经济与贸易、经济学、统计学）（按经济类培养,理论经济学,经济学
经济学类（高校专项理）,理论经济学,经济学
经济学（中外合作办学）,理论经济学,经济学
经济学（创新实验班）,理论经济学,经济学
经济学（单列类）,理论经济学,经济学
经济学（单列）,理论经济学,经济学
经济学（双语类）,理论经济学,经济学
经济学（国家经济学基础人才培养基地班）,理论经济学,经济学
经济学（实验班）,理论经济学,经济学
经济学（普通类）,理论经济学,经济学
经济学（深圳市就读）,理论经济学,经济学
经济管理类,理论经济学,经济学
经济管理试验班,理论经济学,经济学
经济管理试验班(民族班),理论经济学,经济学
经济管理试验班（医药方向）,理论经济学,经济学
经济管理试验班（国家专项计划）,理论经济学,经济学
经济类,理论经济学,经济学
经济统计学,理论经济学,经济学
经管实验班,理论经济学,经济学
经管类实验班,理论经济学,经济学
绘画(加权成绩),美术学,艺术学
绘画（加权成绩）,美术学,艺术学
给排水科学与工程,土木工程,工学
给排水科学与工程（单列）,土木工程,工学
给排水科学与工程（普通类）,土木工程,工学
给排水科学与工程（给排水卓越计划实验班）,土木工程,工学
统计学,统计学,理学
统计学类,统计学,理学
统计学类  (  中外合作办学  )  （风险和精算）,统计学,理学
统计学类  (  中外合作办学  )(  风险和精算  ),统计学,理学
统计学类（理学）,统计学,理学
统计学（单列）,统计学,理学
统计学（国家专项计划）,统计学,理学
统计学（普通类）,统计学,理学
编辑出版学,新闻传播学,文学
编辑出版学 ,新闻传播学,文学
编辑出版学（网络编辑方向）,新闻传播学,文学
编辑出版学（蒙授）,新闻传播学,文学
网络与信息安全类,网络空间安全,工学
网络与新媒体,网络空间安全,工学
网络与新媒体(媒体创意方向),网络空间安全,工学
网络与新媒体(智能融媒体运营方向),网络空间安全,工学
网络与新媒体（媒体创意方向）,网络空间安全,工学
网络与新媒体（新媒体网络经营方向）,网络空间安全,工学
网络工程,机械工程,工学
网络工程(网络空间安全类),网络空间安全,工学
网络工程(铁道信号方向),机械工程,工学
网络工程（按网络空间安全类招生）,网络空间安全,工学
网络空间安全,网络空间安全,工学
网络空间安全(按网络空间安全类培养),网络空间安全,工学
网络空间安全类,网络空间安全,工学
网络空间安全（按网络空间安全类培养）,网络空间安全,工学
网络空间安全（普通类）,网络空间安全,工学
美术学,美术学,艺术学
美术学(加权成绩),美术学,艺术学
美术学（艺术管理与策划方向，加权成绩）,美术学,艺术学
翻译,外国语言文学,文学
翻译(双外语),外国语言文学,文学
翻译（涉外法商）,外国语言文学,文学
考古学,考古学,历史学
考古学（含考古学、文物与博物馆学专业）,考古学,历史学
考古学（含考古学、文物与博物馆学）,考古学,历史学
能源与动力工程,动力工程及工程热物理,工学
能源与动力工程（单列）,动力工程及工程热物理,工学
能源与动力工程（普通类）,动力工程及工程热物理,工学
能源与动力工程（能源卓越计划实验班）,动力工程及工程热物理,工学
能源与环境系统工程,动力工程及工程热物理,工学
能源动力与工程,动力工程及工程热物理,工学
能源动力类,动力工程及工程热物理,工学
能源动力类 ?（新能源）,动力工程及工程热物理,工学
能源动力类 ?（能动）,动力工程及工程热物理,工学
能源动力类(含能源与动力工程、能源与环境系统工程),动力工程及工程热物理,工学
能源动力类(能源与动力工程、能源与环境系统工程),动力工程及工程热物理,工学
能源动力类（国家专项计划）,动力工程及工程热物理,工学
能源动力类（工学Ⅱ）,动力工程及工程热物理,工学
能源动力类（建筑环境与能源应用工程、能源与动力工程、新能源科学与工程）,动力工程及工程热物理,工学
能源动力类（新能源科学与工程、能源与动力工程、核工程与核技术）,动力工程及工程热物理,工学
能源动力类（新能源）,动力工程及工程热物理,工学
能源动力类（能动）,动力工程及工程热物理,工学
能源化学工程,动力工程及工程热物理,工学
能源经济,动力工程及工程热物理,工学
自动化,机械工程,工学
自动化 ,机械工程,工学
自动化(中外合作办学),机械工程,工学
自动化(中外合作办学)（与俄罗斯圣光机大学合作办学，中英文授课，,机械工程,工学
自动化(中外合作办学)（与俄罗斯圣光机大学合作办学，中英文授课，学,机械工程,工学
自动化(定向),机械工程,工学
自动化(定向)#B9,机械工程,工学
自动化(汉),机械工程,工学
自动化(演艺工程与智能技术方向),机械工程,工学
自动化类,机械工程,工学
自动化类(机器人与人工智能),机械工程,工学
自动化类(自动化),机械工程,工学
自动化类（国家专项理）,机械工程,工学
自动化类（轨道交通信号与控制、自动化）,机械工程,工学
自动化类（高校专项理）,机械工程,工学
自动化（中外合作办学 中爱）,机械工程,工学
自动化（中外合作办学）,机械工程,工学
自动化（交叉创新实验班）,机械工程,工学
自动化（卓越计划实验班）,机械工程,工学
自动化（卓越计划）,机械工程,工学
自动化（单列）,机械工程,工学
自动化（含卓越工程师）,机械工程,工学
自动化（定向）,机械工程,工学
自动化（普通类）,机械工程,工学
自动化（汉）,机械工程,工学
自动化（深圳市就读）,机械工程,工学
自动化（演艺工程与舞台技术方向）,机械工程,工学
自动化（理科交叉创新实验班）,机械工程,工学
自然保护与环境生态类,生态学,理学
自然保护与环境生态类（农学）,生态学,理学
自然保护与环境生态类（国家专项计划）,生态学,理学
自然地理与资源环境,地理学,理学
自然地理与资源环境（普通类）,地理学,理学
航空航天与武器类,航空宇航科学与技术,工学
航空航天工程,航空宇航科学与技术,工学
航空航天类,航空宇航科学与技术,工学
航空航天类（航空航天工程、工程力学）,航空宇航科学与技术,工学
船舶与海洋工程,船舶与海洋工程,工学
船舶与海洋工程（船舶与海洋卓越计划实验班）,船舶与海洋工程,工学
英语,外国语言文学,文学
英语 ,外国语言文学,文学
英语(专项文）,外国语言文学,文学
英语(专项理）,外国语言文学,文学
英语(中加),外国语言文学,文学
英语(中美合作1+2+1),外国语言文学,文学
英语(南单文）,外国语言文学,文学
英语(南单理）,外国语言文学,文学
英语(双外语),外国语言文学,文学
英语(商务),外国语言文学,文学
英语(商务英语),外国语言文学,文学
英语(师范),外国语言文学,文学
英语(按外国语言文学类培养),外国语言文学,文学
英语(民),外国语言文学,文学
英语(汉),外国语言文学,文学
英语(英日),外国语言文学,文学
英语(英语类),外国语言文学,文学
英语(零起点),外国语言文学,文学
英语【英语、翻译】,外国语言文学,文学
英语类,外国语言文学,文学
英语（121项目）,外国语言文学,文学
英语（免费师范）,外国语言文学,文学
英语（公费师范）,外国语言文学,文学
英语（医药方向）,外国语言文学,文学
英语（单列类）,外国语言文学,文学
英语（单列）,外国语言文学,文学
英语（含翻译专业）,外国语言文学,文学
英语（商务英语),外国语言文学,文学
英语（商务英语）,外国语言文学,文学
英语（商务）,外国语言文学,文学
英语（国家专项计划）,外国语言文学,文学
英语（国家贫困专项）,外国语言文学,文学
英语（国际贸易）,外国语言文学,文学
英语（外语要求不低于115分）,外国语言文学,文学
英语（宝山校区）,外国语言文学,文学
英语（师范类）,外国语言文学,文学
英语（师范）,外国语言文学,文学
英语（招英语考生）（按外国语言文学类培养）,外国语言文学,文学
英语（按外国语言文学类培养）,外国语言文学,文学
英语（教育）,外国语言文学,文学
英语（文史）,外国语言文学,文学
英语（文科）,外国语言文学,文学
英语（普通类）,外国语言文学,文学
英语（民航业务、国际贸易）,外国语言文学,文学
英语（民）,外国语言文学,文学
英语（汉）,外国语言文学,文学
英语（涉外法商）,外国语言文学,文学
英语（理工）,外国语言文学,文学
英语（翻译方向）,外国语言文学,文学
英语（英日）,外国语言文学,文学
英语（零起点）,外国语言文学,文学
英语（非公费师范）,外国语言文学,文学
茶学,草学,农学
茶学（茶学院）,草学,农学
草业科学,草学,农学
草业科学 ,草学,农学
草业科学(基地班),草学,农学
草业科学基地班,草学,农学
草业科学（草坪科学与管理方向）,草学,农学
药学,药学,医学
药学 ,药学,医学
药学(专项理）,药学,医学
药学(全英文创新实验班),药学,医学
药学(全英文科教学),药学,医学
药学(南单理）,药学,医学
药学类,药学,医学
药学类(含药学、药物制剂专业),药学,医学
药学类（医学）,药学,医学
药学类（国家专项理）,药学,医学
药学类（生物技术与海洋药学方向）,药学,医学
药学类（药学、药物制剂）,药学,医学
药学类（高校专项理）,药学,医学
药学（专科）,药学,医学
药学（创新实验班）,药学,医学
药学（国家生命科学与技术人才培养基地）,药学,医学
药学（国家贫困专项）,药学,医学
药学（基础药学理科基地）,药学,医学
药学（生物药学基地班）,药学,医学
药物制剂,药学,医学
荷兰语,外国语言文学,文学
葡萄牙语,外国语言文学,文学
蒙古语言文学（基地）,外国语言文学,文学
蒙古语言文学（基里尔蒙古文）,外国语言文学,文学
蒙古语言文学（文理综合班）,外国语言文学,文学
蚕学,生物医学工程,工学
蜂学,生物医学工程,工学
行政管理,工商管理,管理学
行政管理 ,工商管理,管理学
行政管理(中美合作1+2+1),工商管理,管理学
行政管理(智慧城市治理方向),工商管理,管理学
行政管理科,工商管理,管理学
行政管理（单列类）,工商管理,管理学
行政管理（单列）,工商管理,管理学
行政管理（双语类）,工商管理,管理学
行政管理（普通类）,工商管理,管理学
行政管理（智慧城市治理方向）,工商管理,管理学
西班牙语,外国语言文学,文学
西班牙语（企业管理）,外国语言文学,文学
西班牙语（商务）,外国语言文学,文学
计算机,计算机科学与技术,工学
计算机科学与技术,计算机科学与技术,工学
计算机科学与技术 (中外合作办学),计算机科学与技术,工学
计算机科学与技术 (南单理）,计算机科学与技术,工学
计算机科学与技术 国家专项,计算机科学与技术,工学
计算机科学与技术(中外合作办学),计算机科学与技术,工学
计算机科学与技术(中外合作办学)（与俄罗斯圣光机大学合作办学，中,计算机科学与技术,工学
计算机科学与技术(中外合作办学)（与俄罗斯圣光机大学合作办学，中英,计算机科学与技术,工学
计算机科学与技术(中法校际交流),计算机科学与技术,工学
计算机科学与技术(人工智能),计算机科学与技术,工学
计算机科学与技术(定向),计算机科学与技术,工学
计算机科学与技术(师范),计算机科学与技术,工学
计算机科学与技术(网络空间安全),计算机科学与技术,工学
计算机科学与技术类,计算机科学与技术,工学
计算机科学与技术（与会计学复合）,计算机科学与技术,工学
计算机科学与技术（人工智能）,计算机科学与技术,工学
计算机科学与技术（免费师范）,计算机科学与技术,工学
计算机科学与技术（单列）,计算机科学与技术,工学
计算机科学与技术（厦门大学马来西亚分校）,计算机科学与技术,工学
计算机科学与技术（国家专项计划）,计算机科学与技术,工学
计算机科学与技术（大数据技术与应用方向）,计算机科学与技术,工学
计算机科学与技术（定向）,计算机科学与技术,工学
计算机科学与技术（教育部卓越工程师班）,计算机科学与技术,工学
计算机科学与技术（日语强化）,计算机科学与技术,工学
计算机科学与技术（普通类）,计算机科学与技术,工学
计算机科学与技术（网信安全）,计算机科学与技术,工学
计算机科学与技术（网络与信息安全方向）,计算机科学与技术,工学
计算机科学与技术（网络安全）,计算机科学与技术,工学
计算机科学与技术（计算机卓越计划实验班）,计算机科学与技术,工学
计算机科学与技术（金融信息化方向）,计算机科学与技术,工学
计算机类,计算机科学与技术,工学
计算机类 ,计算机科学与技术,工学
计算机类  (  经济信息管理类  ),计算机科学与技术,工学
计算机类  (  经济信息管理类）,计算机科学与技术,工学
计算机类  （经济信息管理类）,计算机科学与技术,工学
计算机类(中外合作办学),计算机科学与技术,工学
"计算机类(中美联合培养121国际班,全英文科教学)",计算机科学与技术,工学
计算机类(信息网络安全),计算机科学与技术,工学
计算机类(含计算机科学与技术、软件工程专业),计算机科学与技术,工学
计算机类(国家网络安全学院),计算机科学与技术,工学
计算机类(定向),计算机科学与技术,工学
计算机类(民),计算机科学与技术,工学
计算机类(汉),计算机科学与技术,工学
计算机类(藏),计算机科学与技术,工学
计算机类(计算机学院),计算机科学与技术,工学
计算机类(计算机科学与技术),计算机科学与技术,工学
计算机类(计算机科学与技术、网络工程、数据科学与大数据技术),计算机科学与技术,工学
计算机类(计算机科学与技术、软件工程),计算机科学与技术,工学
计算机类(计算机科学与技术、软件工程) ,计算机科学与技术,工学
计算机类(软件工程),计算机科学与技术,工学
计算机类（信息网络安全）,计算机科学与技术,工学
计算机类（单列四年）,计算机科学与技术,工学
计算机类（单列类）,计算机科学与技术,工学
计算机类（含计算机科学与技术、物联网工程、网络空间安全）,计算机科学与技术,工学
计算机类（含计算机科学与技术、物联网工程、网络空间安全） 国家专项,计算机科学与技术,工学
计算机类（含计算机科学与技术、物联网工程）,计算机科学与技术,工学
计算机类（含计算机科学与技术、物联网工程） 国家专项,计算机科学与技术,工学
计算机类（含计算机科学与技术、网络工程专业）,计算机科学与技术,工学
计算机类（国家专项理）,计算机科学与技术,工学
计算机类（国家专项计划）,计算机科学与技术,工学
计算机类（定向）,计算机科学与技术,工学
计算机类（汉）,计算机科学与技术,工学
计算机类（深圳市就读）,计算机科学与技术,工学
计算机类（经济信息管理类）,计算机科学与技术,工学
计算机类（网安学院）,计算机科学与技术,工学
计算机类（网安）,计算机科学与技术,工学
计算机类（计算机学院）,计算机科学与技术,工学
计算机类（计算机科学与技术(与会计学复合)、计算机科学与技术、软件,计算机科学与技术,工学
计算机类（计算机科学与技术、数据科学与大数据技术）,计算机科学与技术,工学
计算机类（计算机科学与技术、网络工程、数据科学与大数据技术）,计算机科学与技术,工学
计算机类（计算机科学与技术、网络工程）,计算机科学与技术,工学
计算机类（计算机科学与技术、软件工程、数据科学与大数据技术）,计算机科学与技术,工学
计算机类（计算机科学与技术、软件工程、网络工程、智能科学与技术）,计算机科学与技术,工学
计算机类（计算机科学与技术、软件工程）,计算机科学与技术,工学
计算机类（计算机）,计算机科学与技术,工学
计算机类（高校专项理）,计算机科学与技术,工学
计算机网络技术,计算机科学与技术,工学
设施农业科学与工程,材料科学与工程,工学
设计学类,设计学,艺术学
设计学类(加权成绩),设计学,艺术学
设计学类(工业设计),设计学,艺术学
设计学类（产品设计、数字媒体艺术）（美术类统考成绩）,设计学,艺术学
设计学类（加权成绩）,设计学,艺术学
设计学类（工业设计）,设计学,艺术学
语言学,中国语言文学,文学
财务管理,工商管理,管理学
财务管理科,管理科学与工程,管理学
财务管理（双语实验班）,工商管理,管理学
财政学,工商管理,管理学
财政学类,工商管理,管理学
财政学（单列类）,工商管理,管理学
财政学（民）,工商管理,管理学
贸易经济,理论经济学,经济学
资产评估,理论经济学,经济学
资源勘查工程,地质资源与地质工程,工学
资源勘查工程 国家专项,地质资源与地质工程,工学
资源勘查工程(含基地班),地质资源与地质工程,工学
资源勘查工程(地矿专业),地质资源与地质工程,工学
资源勘查工程(基地班),地质资源与地质工程,工学
资源勘查工程(定向),地质资源与地质工程,工学
资源勘查工程(提前批),地质资源与地质工程,工学
资源勘查工程（单列）,地质资源与地质工程,工学
资源勘查工程（固体矿产）,地质资源与地质工程,工学
资源勘查工程（地矿专业）,地质资源与地质工程,工学
资源勘查工程（地矿）,地质资源与地质工程,工学
资源勘查工程（提前批）,地质资源与地质工程,工学
资源勘查工程（新能源地质与工程）,地质资源与地质工程,工学
资源勘查工程（普通类）,地质资源与地质工程,工学
资源勘查工程（能源）,地质资源与地质工程,工学
资源循环科学与工程,环境科学与工程,工学
资源环境科学（本研一体培养班）,环境科学与工程,工学
越南语,外国语言文学,文学
车辆工程,机械工程,工学
车辆工程 ,机械工程,工学
车辆工程(民),机械工程,工学
车辆工程(汉),机械工程,工学
车辆工程(汽车),机械工程,工学
车辆工程（卓越计划）,机械工程,工学
车辆工程（定向）,机械工程,工学
车辆工程（民）,机械工程,工学
车辆工程（英语强化）,机械工程,工学
车辆类,机械工程,工学
轨道交通信号与控制,交通运输工程,工学
轮机工程,机械工程,工学
轮机工程（陆上专业）,机械工程,工学
软件工程,软件工程,工学
软件工程(定向),软件工程,工学
软件工程(嵌入式培养),软件工程,工学
软件工程(第三、四学年学费16000元/年),软件工程,工学
软件工程(软件工程类),软件工程,工学
软件工程【软件工程、网络工程】,软件工程,工学
软件工程（中外合作办学 中爱）,软件工程,工学
软件工程（中外合作办学）,软件工程,工学
软件工程（单列）,软件工程,工学
软件工程（厦门大学马来西亚分校）,软件工程,工学
软件工程（含网络工程专业）,软件工程,工学
软件工程（含软件工程、数字媒体技术）,软件工程,工学
软件工程（嵌入式培养）,软件工程,工学
软件工程（普通类）,软件工程,工学
软件工程（移动互联网方向）,软件工程,工学
软件技术,软件工程,工学
轻化工程,化学工程与技术,工学
轻化工程(中外合作办学),化学工程与技术,工学
轻工类,轻工技术与工程,工学
轻工类(中外合作办学)(轻化工程),轻工技术与工程,工学
轻工类(含印刷工程、包装工程),轻工技术与工程,工学
辐射防护与核安全,网络空间安全,工学
